"sppid","species","scinam","tsnid","AOU","family","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest","singing"
"GreatHornedOwl","Great Horned Owl","Bubo virginianus","99002638","GHOW","Strigidae",356,TRUE,TRUE,298,229,356,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE
"GrayJay","Gray Jay","Perisoreus canadensis","179667","GRAJ","Corvidae",5997,TRUE,TRUE,7623,175,5997,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"GrayPartridge","Gray Partridge","Perdix perdix","99002560","GRAP","Phasianidae",402,TRUE,TRUE,62,524,402,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,FALSE
"GrayCatbird","Gray Catbird","Dumetella carolinensis","178625","GRCA","Mimidae",473,TRUE,TRUE,401,536,473,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"GreaterScaup","Greater Scaup","Aythya marila","175130","GRSC","Anatidae",3,FALSE,FALSE,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"GrasshopperSparrow","Grasshopper Sparrow","Ammodramus savannarum","179333","GRSP","Emberizidae",383,FALSE,TRUE,0,599,383,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"GreaterYellowlegs","Greater Yellowlegs","Tringa melanoleuca","99002632","GRYE","Scolopacidae",1071,TRUE,TRUE,1267,43,1071,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,TRUE
"GreaterWhitefrontedGoose","Greater White-fronted Goose","Anser albifrons","99005331","GWFG","Anatidae",9,FALSE,FALSE,0,0,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"GreenwingedTeal","Green-winged Teal","Anas crecca","175081","GWTE","Anatidae",569,TRUE,TRUE,498,623,569,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"HammondsFlycatcher","Hammond's Flycatcher","Empidonax hammondii","99002660","HAFL","Tyrannidae",55,TRUE,FALSE,98,0,55,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"HarrissSparrow","Harris's Sparrow","Zonotrichia querula","179454","HASP","Emberizidae",1,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"HairyWoodpecker","Hairy Woodpecker","Picoides villosus","178262","HAWO","Picidae",921,TRUE,TRUE,1071,303,921,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"HerringGull","Herring Gull","Larus argentatus","99002570","HERG","Laridae",56,TRUE,TRUE,34,37,56,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE
"HermitThrush","Hermit Thrush","Catharus guttatus","179779","HETH","Turdidae",6441,TRUE,TRUE,9308,868,6441,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"HouseFinch","House Finch","Carpodacus mexicanus","99002577","HOFI","Fringillidae",29,FALSE,TRUE,0,31,29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,TRUE
"HornedGrebe","Horned Grebe","Podiceps auritus","99003372","HOGR","Podicipedidae",122,TRUE,TRUE,116,146,122,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"HornedLark","Horned Lark","Eremophila alpestris","554256","HOLA","Alaudidae",3988,TRUE,TRUE,516,11905,3988,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"HoodedMerganser","Hooded Merganser","Lophodytes cucullatus","175183","HOME","Anatidae",9,FALSE,FALSE,0,0,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"HouseSparrow","House Sparrow","Passer domesticus","179628","HOSP","Passeridae",1659,TRUE,TRUE,1868,4673,1659,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"HouseWren","House Wren","Troglodytes aedon","178541","HOWR","Troglodytidae",4168,TRUE,TRUE,10533,11452,4168,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"Killdeer","Killdeer","Charadrius vociferus","99003106","KILL","Charadriidae",2764,TRUE,TRUE,1653,3897,2764,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"LarkBunting","Lark Bunting","Calamospiza melanocorys","179312","LARB","Emberizidae",261,FALSE,TRUE,0,449,261,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"LarkSparrow","Lark Sparrow","Chondestes grammacus","179371","LASP","Emberizidae",116,FALSE,TRUE,0,135,116,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"LongbilledCurlew","Long-billed Curlew","Numenius americanus","99003084","LBCU","Scolopacidae",1306,FALSE,TRUE,0,2461,1306,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"LeContesSparrow","Le Conte's Sparrow","Ammodramus leconteii","179345","LCSP","Emberizidae",1908,TRUE,TRUE,3331,1595,1908,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"LeastFlycatcher","Least Flycatcher","Empidonax minimus","99002624","LEFL","Tyrannidae",5043,TRUE,TRUE,9686,5116,5043,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"LongearedOwl","Long-eared Owl","Asio otus","99003070","LEOW","Strigidae",13,FALSE,FALSE,0,0,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"LesserScaup","Lesser Scaup","Aythya affinis","175134","LESC","Anatidae",563,TRUE,TRUE,586,1051,563,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"LesserYellowlegs","Lesser Yellowlegs","Tringa flavipes","99002633","LEYE","Scolopacidae",581,TRUE,TRUE,617,148,581,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"LincolnsSparrow","Lincoln's Sparrow","Melospiza lincolnii","179484","LISP","Emberizidae",5663,TRUE,TRUE,9523,2449,5663,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"MarbledGodwit","Marbled Godwit","Limosa fedoa","99003090","MAGO","Scolopacidae",2198,TRUE,TRUE,331,4081,2198,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"Mallard","Mallard","Anas platyrhynchos","175063","MALL","Anatidae",3361,TRUE,TRUE,3210,6005,3361,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"MagnoliaWarbler","Magnolia Warbler","Setophaga magnolia","99001399","MAWA","Parulidae",2674,TRUE,TRUE,3038,149,2674,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"MarshWren","Marsh Wren","Cistothorus palustris","178608","MAWR","Troglodytidae",214,TRUE,TRUE,325,211,214,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"McCownsLongspur","McCown's Longspur","Rhynchophanes mccownii","99001411","MCLO","Calcariidae",384,FALSE,TRUE,0,653,384,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"MewGull","Mew Gull","Larus canus","99002569","MEGU","Laridae",3,FALSE,FALSE,0,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Merlin","Merlin","Falco columbarius","175613","MERL","Falconidae",196,TRUE,TRUE,126,173,196,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"MacgillivrayWarbler","MacGillivray's Warbler","Geothlypis tolmiei","99001409","MGWA","Parulidae",123,TRUE,FALSE,119,0,123,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE
"MountainBluebird","Mountain Bluebird","Sialia currucoides","179811","MOBL","Turdidae",483,TRUE,TRUE,603,619,483,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"MountainChickadee","Mountain Chickadee","Poecile gambeli","554385","MOCH","Paridae",155,TRUE,FALSE,174,0,155,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE
"MourningDove","Mourning Dove","Zenaida macroura","99003101","MODO","Columbidae",1315,TRUE,TRUE,532,2066,1315,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"MourningWarbler","Mourning Warbler","Geothlypis philadelphia","99001414","MOWA","Parulidae",1819,TRUE,TRUE,3884,196,1819,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"NashvilleWarbler","Nashville Warbler","Oreothlypis ruficapilla","99002574","NAWA","Parulidae",26,TRUE,FALSE,26,0,26,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TRUE
"NelsonsSparrow","Nelson's Sparrow","Ammodramus nelsoni","554031","NESP","Emberizidae",277,TRUE,TRUE,300,265,277,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"NorthernHawkOwl","Northern Hawk Owl","Surnia ulula","99003075","NHOW","Strigidae",15,FALSE,FALSE,0,0,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"NorthernCardinal","Northern Cardinal","Cardinalis cardinalis","179124","NOCA","Cardinalidae",1,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"NorthernFlicker","Northern Flicker","Colaptes auratus","178154","NOFL","Picidae",2557,TRUE,TRUE,2876,1230,2557,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"NorthernGoshawk","Northern Goshawk","Accipiter gentilis","99003408","NOGO","Accipitridae",39,TRUE,FALSE,36,0,39,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
"NorthernHarrier","Northern Harrier","Circus cyaneus","99003404","NOHA","Accipitridae",672,TRUE,TRUE,232,782,672,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"NorthernPintail","Northern Pintail","Anas acuta","175074","NOPI","Anatidae",992,TRUE,TRUE,297,1373,992,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"NorthernPygmyOwl","Northern Pygmy-Owl","Glaucidium gnoma","99003073","NOPO","Strigidae",26,TRUE,FALSE,26,0,26,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
"NorthernWaterthrush","Northern Waterthrush","Parkesia noveboracensis","99001337","NOWA","Parulidae",1227,TRUE,TRUE,1591,79,1227,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"NorthernRoughwingedSwallow","Northern Rough-winged Swallow","Stelgidopteryx serripennis","99002661","NRWS","Hirundinidae",57,TRUE,TRUE,35,52,57,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE
"NorthernShoveler","Northern Shoveler","Anas clypeata","175096","NSHO","Anatidae",1182,TRUE,TRUE,711,2000,1182,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"NorthernSawwhetOwl","Northern Saw-whet Owl","Aegolius acadicus","99003078","NSWO","Strigidae",69,TRUE,FALSE,82,0,69,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
"OrangecrownedWarbler","Orange-crowned Warbler","Oreothlypis celata","99001335","OCWA","Parulidae",1705,TRUE,TRUE,2222,174,1705,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"OlivesidedFlycatcher","Olive-sided Flycatcher","Contopus cooperi","99002662","OSFL","Tyrannidae",745,TRUE,TRUE,856,63,745,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"Osprey","Osprey","Pandion haliaetus","99003419","OSPR","Pandionidae",70,TRUE,TRUE,97,25,70,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE
"Ovenbird","Ovenbird","Seiurus aurocapilla","726205","OVEN","Parulidae",9274,TRUE,TRUE,16028,683,9274,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"PalmWarbler","Palm Warbler","Setophaga palmarum","99001406","PAWA","Parulidae",2296,TRUE,TRUE,2465,57,2296,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"PacificWren","Pacific Wren","Troglodytes pacificus","99005332","PAWR","Troglodytidae",114,TRUE,FALSE,153,0,114,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE
"PiedbilledGrebe","Pied-billed Grebe","Podilymbus podiceps","99003378","PBGR","Podicipedidae",492,TRUE,TRUE,440,343,492,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"PhiladelphiaVireo","Philadelphia Vireo","Vireo philadelphicus","179022","PHVI","Vireonidae",1083,TRUE,TRUE,1653,181,1083,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"PineGrosbeak","Pine Grosbeak","Pinicola enucleator","179205","PIGR","Fringillidae",80,TRUE,FALSE,93,0,80,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TRUE
"PineSiskin","Pine Siskin","Spinus pinus","99001434","PISI","Fringillidae",3378,TRUE,TRUE,5405,401,3378,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"PileatedWoodpecker","Pileated Woodpecker","Dryocopus pileatus","178166","PIWO","Picidae",907,TRUE,TRUE,949,141,907,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"PurpleFinch","Purple Finch","Carpodacus purpureus","99002576","PUFI","Fringillidae",358,TRUE,TRUE,474,117,358,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"PurpleMartin","Purple Martin","Progne subis","99002664","PUMA","Hirundinidae",76,TRUE,TRUE,131,125,76,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"RosebreastedGrosbeak","Rose-breasted Grosbeak","Pheucticus ludovicianus","179139","RBGR","Cardinalidae",4248,TRUE,TRUE,6462,1033,4248,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"RingbilledGull","Ring-billed Gull","Larus delawarensis","99002571","RBGU","Laridae",1603,TRUE,TRUE,1357,3002,1603,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"RedbreastedNuthatch","Red-breasted Nuthatch","Sitta canadensis","99003064","RBNU","Sittidae",3198,TRUE,TRUE,4386,339,3198,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"RubycrownedKinglet","Ruby-crowned Kinglet","Regulus calendula","179870","RCKI","Regulidae",7207,TRUE,TRUE,12030,471,7207,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"RedCrossbill","Red Crossbill","Loxia curvirostra","179259","RECR","Fringillidae",157,TRUE,FALSE,155,0,157,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"Redhead","Redhead","Aythya americana","175125","REDH","Anatidae",310,TRUE,TRUE,311,481,310,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"RedPhalarope","Red Phalarope","Phalaropus fulicarius","99002565","REPH","Scolopacidae",1,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"RedeyedVireo","Red-eyed Vireo","Vireo olivaceus","179021","REVI","Vireonidae",8016,TRUE,TRUE,16731,4349,8016,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"RingneckedDuck","Ring-necked Duck","Aythya collaris","175128","RNDU","Anatidae",141,TRUE,TRUE,178,113,141,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"RingneckedPheasant","Ring-necked Pheasant","Phasianus colchicus","175905","RNEP","Phasianidae",743,TRUE,TRUE,63,1200,743,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,FALSE
"RedneckedGrebe","Red-necked Grebe","Podiceps grisegena","99003373","RNGR","Podicipedidae",560,TRUE,TRUE,1072,486,560,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"RedneckedPhalarope","Red-necked Phalarope","Phalaropus lobatus","99002566","RNPH","Scolopacidae",29,FALSE,TRUE,0,29,29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,TRUE
"RednapedSapsucker","Red-naped Sapsucker","Sphyrapicus nuchalis","178211","RNSA","Picidae",32,FALSE,FALSE,0,0,32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
"RockPigeon","Rock Pigeon","Columba livia","99003061","ROPI","Columbidae",1140,TRUE,TRUE,1032,2135,1140,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"RockWren","Rock Wren","Salpinctes obsoletus","178614","ROWR","Troglodytidae",51,FALSE,TRUE,0,51,51,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"RedtailedHawk","Red-tailed Hawk","Buteo jamaicensis","99003414","RTHA","Accipitridae",2126,TRUE,TRUE,2536,3075,2126,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"RubythroatedHummingbird","Ruby-throated Hummingbird","Archilochus colubris","178032","RTHU","Trochilidae",41,TRUE,TRUE,43,36,41,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE
"RustyBlackbird","Rusty Blackbird","Euphagus carolinus","179091","RUBL","Icteridae",266,TRUE,TRUE,278,90,266,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"RuddyDuck","Ruddy Duck","Oxyura jamaicensis","175175","RUDU","Anatidae",217,TRUE,TRUE,316,456,217,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"RuffedGrouse","Ruffed Grouse","Bonasa umbellus","175790","RUGR","Phasianidae",1397,TRUE,TRUE,1790,193,1397,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"RedwingedBlackbird","Red-winged Blackbird","Agelaius phoeniceus","179045","RWBL","Icteridae",7599,TRUE,TRUE,11840,16738,7599,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"SandhillCrane","Sandhill Crane","Grus canadensis","176177","SACR","Gruidae",879,TRUE,TRUE,935,107,879,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"SaysPhoebe","Say's Phoebe","Sayornis saya","99002619","SAPH","Tyrannidae",67,FALSE,TRUE,0,96,67,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"SavannahSparrow","Savannah Sparrow","Passerculus sandwichensis","179314","SAVS","Emberizidae",8260,TRUE,TRUE,13367,24400,8260,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"ShortbilledDowitcher","Short-billed Dowitcher","Limnodromus griseus","99003088","SBDO","Scolopacidae",25,TRUE,FALSE,42,0,25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,TRUE
"ShortearedOwl","Short-eared Owl","Asio flammeus","99003071","SEOW","Strigidae",174,TRUE,TRUE,42,176,174,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,FALSE
"SemipalmatedPlover","Semipalmated Plover","Charadrius semipalmatus","99003105","SEPL","Charadriidae",1,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"SedgeWren","Sedge Wren","Cistothorus platensis","178605","SEWR","Troglodytidae",80,TRUE,TRUE,198,94,80,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"SnowBunting","Snow Bunting","Plectrophenax nivalis","99002584","SNBU","Calcariidae",1,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"SnowGoose","Snow Goose","Chen caerulescens","175038","SNGO","Anatidae",7,FALSE,FALSE,0,0,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"Sora","Sora","Porzana carolina","176242","SORA","Rallidae",2878,TRUE,TRUE,3318,3345,2878,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"SolitarySandpiper","Solitary Sandpiper","Tringa solitaria","99002631","SOSA","Scolopacidae",679,TRUE,TRUE,703,98,679,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
