"sppid","species","scinam","tsnid","AOU","family","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest","singing"
"SongSparrow","Song Sparrow","Melospiza melodia","179492","SOSP","Emberizidae",3726,TRUE,TRUE,9073,8124,3726,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"SpruceGrouse","Spruce Grouse","Falcipennis canadensis","553896","SPGR","Phasianidae",24,TRUE,FALSE,39,0,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"SpraguesPipit","Sprague's Pipit","Anthus spragueii","178499","SPPI","Motacillidae",2080,TRUE,TRUE,359,4354,2080,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"SpottedSandpiper","Spotted Sandpiper","Actitis macularius","99002634","SPSA","Scolopacidae",928,TRUE,TRUE,896,597,928,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"SpottedTowhee","Spotted Towhee","Pipilo maculatus","554380","SPTO","Emberizidae",46,FALSE,TRUE,0,47,46,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,TRUE
"SharpshinnedHawk","Sharp-shinned Hawk","Accipiter striatus","99003406","SSHA","Accipitridae",61,TRUE,TRUE,51,34,61,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE
"SharptailedGrouse","Sharp-tailed Grouse","Tympanuchus phasianellus","175841","STGR","Phasianidae",212,FALSE,TRUE,0,253,212,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"StellersJay","Steller's Jay","Cyanocitta stelleri","179685","STJA","Corvidae",4,FALSE,FALSE,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"SwainsonsHawk","Swainson's Hawk","Buteo swainsoni","99003411","SWHA","Accipitridae",1110,TRUE,TRUE,313,1861,1110,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"SwampSparrow","Swamp Sparrow","Melospiza georgiana","179488","SWSP","Emberizidae",1175,TRUE,TRUE,1915,437,1175,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"SwainsonsThrush","Swainson's Thrush","Catharus ustulatus","179788","SWTH","Turdidae",10326,TRUE,TRUE,17702,580,10326,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"TennesseeWarbler","Tennessee Warbler","Oreothlypis peregrina","99001334","TEWA","Parulidae",11731,TRUE,TRUE,19291,605,11731,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"TownsendsSolitaire","Townsend's Solitaire","Myadestes townsendi","179824","TOSO","Turdidae",106,TRUE,FALSE,114,0,106,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE
"TreeSwallow","Tree Swallow","Tachycineta bicolor","99002649","TRES","Hirundinidae",3114,TRUE,TRUE,5534,4928,3114,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"TrumpeterSwan","Trumpeter Swan","Cygnus buccinator","174992","TRUS","Anatidae",12,FALSE,FALSE,0,0,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"TundraSwan","Tundra Swan","Cygnus columbianus","174987","TUSW","Anatidae",13,TRUE,FALSE,45,0,13,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE
"TurkeyVulture","Turkey Vulture","Cathartes aura","99001438","TUVU","Cathartidae",6,FALSE,FALSE,0,0,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"UplandSandpiper","Upland Sandpiper","Bartramia longicauda","99003399","UPSA","Scolopacidae",595,TRUE,TRUE,38,681,595,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE
"VariedThrush","Varied Thrush","Ixoreus naevius","179773","VATH","Turdidae",634,TRUE,FALSE,1909,0,634,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"Veery","Veery","Catharus fuscescens","179796","VEER","Turdidae",133,TRUE,TRUE,127,76,133,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"VesperSparrow","Vesper Sparrow","Pooecetes gramineus","179366","VESP","Emberizidae",6751,TRUE,TRUE,5648,18178,6751,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"VioletgreenSwallow","Violet-green Swallow","Tachycineta thalassina","99002648","VGSW","Hirundinidae",38,FALSE,FALSE,0,0,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE
"VirginiaRail","Virginia Rail","Rallus limicola","176221","VIRA","Rallidae",6,FALSE,FALSE,0,0,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"WarblingVireo","Warbling Vireo","Vireo gilvus","179023","WAVI","Vireonidae",3483,TRUE,TRUE,5603,2128,3483,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"WhitebreastedNuthatch","White-breasted Nuthatch","Sitta carolinensis","99003065","WBNU","Sittidae",184,TRUE,TRUE,239,76,184,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"WhitecrownedSparrow","White-crowned Sparrow","Zonotrichia leucophrys","179455","WCSP","Emberizidae",452,TRUE,TRUE,975,171,452,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"WesternGrebe","Western Grebe","Aechmophorus occidentalis","99003375","WEGR","Podicipedidae",20,TRUE,TRUE,34,35,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE
"WesternKingbird","Western Kingbird","Tyrannus verticalis","99003094","WEKI","Tyrannidae",486,FALSE,TRUE,0,858,486,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"WesternMeadowlark","Western Meadowlark","Sturnella neglecta","179039","WEME","Icteridae",5929,TRUE,TRUE,2311,20459,5929,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"WesternTanager","Western Tanager","Piranga ludoviciana","99002586","WETA","Cardinalidae",2511,TRUE,TRUE,3287,163,2511,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"WesternWoodPewee","Western Wood-Pewee","Contopus sordidulus","99002628","WEWP","Tyrannidae",1454,TRUE,TRUE,2044,1021,1454,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"WillowFlycatcher","Willow Flycatcher","Empidonax traillii","99002623","WIFL","Tyrannidae",73,TRUE,TRUE,108,29,73,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,TRUE
"Willet","Willet","Tringa semipalmata","99001412","WILL","Scolopacidae",2078,TRUE,TRUE,403,3101,2078,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"WilsonsPhalarope","Wilson's Phalarope","Phalaropus tricolor","99002564","WIPH","Scolopacidae",369,TRUE,TRUE,90,584,369,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE
"WilsonsSnipe","Wilson's Snipe","Gallinago delicata","99002630","WISN","Scolopacidae",7374,TRUE,TRUE,11054,7003,7374,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"WilsonsWarbler","Wilson's Warbler","Cardellina pusilla","99001415","WIWA","Parulidae",755,TRUE,TRUE,1096,25,755,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,TRUE
"WinterWren","Winter Wren","Troglodytes hiemalis","99001407","WIWR","Troglodytidae",2359,TRUE,FALSE,3823,0,2359,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"WoodDuck","Wood Duck","Aix sponsa","175122","WODU","Anatidae",4,FALSE,FALSE,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"WhitethroatedSparrow","White-throated Sparrow","Zonotrichia albicollis","179462","WTSP","Emberizidae",13100,TRUE,TRUE,24660,4061,13100,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"WhitewingedCrossbill","White-winged Crossbill","Loxia leucoptera","179268","WWCR","Fringillidae",1485,TRUE,TRUE,1692,36,1485,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,TRUE
"YellowbelliedFlycatcher","Yellow-bellied Flycatcher","Empidonax flaviventris","99002621","YBFL","Tyrannidae",813,TRUE,TRUE,835,27,813,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,TRUE
"YellowbelliedSapsucker","Yellow-bellied Sapsucker","Sphyrapicus varius","178202","YBSA","Picidae",3244,TRUE,TRUE,4554,656,3244,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
"YellowRail","Yellow Rail","Coturnicops noveboracensis","176259","YERA","Rallidae",79,TRUE,TRUE,235,80,79,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,FALSE
"YellowWarbler","Yellow Warbler","Setophaga petechia","99001398","YEWA","Parulidae",5467,TRUE,TRUE,11474,8649,5467,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"YellowheadedBlackbird","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","179043","YHBL","Icteridae",1264,TRUE,TRUE,743,2016,1264,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE
"YellowrumpedWarbler","Yellow-rumped Warbler","Setophaga coronata","99001401","YRWA","Parulidae",11774,TRUE,TRUE,19492,498,11774,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE
