"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","origin","nonnative","comments"
"Alopecurus.geniculatus","Marsh Meadow Foxtail","Alopecurus geniculatus","Species","AlopecurusGeniculatus",99003977,11,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Alyssum","Alyssums","Alyssum","Genus","Alyssum",99001974,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Alyssum.alyssoides","Small Alyssum","Alyssum alyssoides","Species","AlyssumAlyssoides",99001975,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Amaranthus","Amaranths","Amaranthus","Genus","Amaranthus",99004261,11,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Amaranthus.albus","Tumbleweed","Amaranthus albus","Species","AmaranthusAlbus",99004262,20,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Amaranthus.blitoides","Matweed Amaranth","Amaranthus blitoides","Species","AmaranthusBlitoides",99004265,22,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Amaranthus.retroflexus","Red Root Pigweed","Amaranthus retroflexus","Species","AmaranthusRetroflexus",99004264,222,82,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Exotic",TRUE,NA
"Ambrosia","Ragweeds","Ambrosia","Genus","Ambrosia",99004520,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Amelanchier.alnifolia","Saskatoon","Amelanchier alnifolia","Species","AmelanchierAlnifolia",99003587,1197,452,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anaphalis.margaritacea","Pearly Everlasting","Anaphalis margaritacea","Species","AnaphalisMargaritacea",99004524,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Andromeda.polifolia","Bog Rosemary","Andromeda polifolia","Species","AndromedaPolifolia",99004657,253,85,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Native",FALSE,NA
"Androsace.chamaejasme","Sweet Flowered Androsace","Androsace chamaejasme","Species","AndrosaceChamaejasme",99004620,11,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Androsace.occidentalis","Western Fairy Candelabra","Androsace occidentalis","Species","AndrosaceOccidentalis",99004621,54,24,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Androsace.septentrionalis","Northern Fairy Candelabra","Androsace septentrionalis","Species","AndrosaceSeptentrionalis",99004622,199,78,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anemone","Anemones","Anemone","Genus","Anemone",99004763,10,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Anemone.canadensis","Canada Anemone","Anemone canadensis","Species","AnemoneCanadensis",99004764,245,104,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anemone.cylindrica","Long-Fruited Anemone","Anemone cylindrica","Species","AnemoneCylindrica",99004771,58,29,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Anemone.multifida","Cut Leaved Anemone","Anemone multifida","Species","AnemoneMultifida",99004765,215,81,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anemone.occidentalis","Western Anemone","Anemone occidentalis","Species","AnemoneOccidentalis",99004766,11,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Anemone.parviflora","Small Wood Anemone","Anemone parviflora","Species","AnemoneParviflora",99004767,13,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Anemone.patens","Prairie Crocus","Anemone patens","Species","AnemonePatens",99004768,353,115,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Anemone.richardsonii","Yellow Anemone","Anemone richardsonii","Species","AnemoneRichardsonii",99004770,10,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Anemone.virginiana","Virginia Anemone","Anemone virginiana","Species","AnemoneVirginiana",99004773,26,14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Anethum.graveolens","Dill","Anethum graveolens","Species","AnethumGraveolens",99004723,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Angelica.genuflexa","Kneeling Angelica","Angelica genuflexa","Species","AngelicaGenuflexa",99004701,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria","Pussytoes","Antennaria","Genus","Antennaria",99004349,32,17,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria.alpina","Alpine Everlasting","Antennaria alpina","Species","AntennariaAlpina",99004350,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria.anaphaloides","Tall Everlasting","Antennaria anaphaloides","Species","AntennariaAnaphaloides",99004351,7,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria.howellii","Howell's Pussytoes","Antennaria howellii","Species","AntennariaHowellii",99004357,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria.lanata","Woolly Everlasting","Antennaria lanata","Species","AntennariaLanata",99004352,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria.microphylla.parvifolia","Littleleaf Pussytoes","Antennaria microphylla/parvifolia","Species","AntennariaMicrophylla",99004359,604,217,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Antennaria.neglecta","Broad-Leaved Everlasting","Antennaria neglecta","Species","AntennariaNeglecta",99004362,142,68,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Antennaria.pulcherrima","Showy Everlasting","Antennaria pulcherrima","Species","AntennariaPulcherrima",99004354,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria.racemosa","Racemose Everlasting","Antennaria racemosa","Species","AntennariaRacemosa",99004355,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Antennaria.rosea","Rosy Everlasting","Antennaria rosea","Species","AntennariaRosea",99004356,7,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Anthoxanthum.hirtum","Sweet Grass","Anthoxanthum hirtum","Species","AnthoxanthumHirtum",99000252,19,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Anthoxanthum","Alpine Sweet Grass","Anthoxanthum","Species","AnthoxanthumMonticola",99003980,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Apium.graveolens","Celery","Apium graveolens","Species","ApiumGraveolens",99005404,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exotic",TRUE,NA
"Apocynum","Dogbanes","Apocynum","Genus","Apocynum",99002774,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
"Apocynum.androsaemifolium","Spreading Dogbane","Apocynum androsaemifolium","Species","ApocynumAndrosaemifolium",99002775,164,68,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Apocynum.cannabinum","Indian Hemp","Apocynum cannabinum","Species","ApocynumCannabinum",99002776,8,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
