"names","mapdet","useavailnorth","useavailsouth","mappred","veghfnorth","soilhfsouth","mapdetonly"
"mites",243,65,61,105,100,34,138
"mosses",328,86,39,111,110,18,217
"lichens",298,82,59,133,119,38,165
"mammals",29,15,15,13,13,7,16
"birds",231,61,62,174,153,137,57
"vplants",1286,290,337,418,332,251,868
"total",2415,599,573,954,827,485,1461
