"sppid","species","scinam","rank","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments","tsnid"
"PeloribatesCanadensis",NA,"Peloribates canadensis","Species",54,39,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,743476
"PeloribatesPilosus",NA,"Peloribates pilosus","Species",386,247,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,743520
"PeloribatesSp3DEW",NA,"Peloribates sp. 3 DEW","Species",51,45,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000043
"PeloribatesSp4DEW",NA,"Peloribates sp. 4 DEW","Species",147,85,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,99000044
"PeloribatesSp5DEW",NA,"Peloribates sp. 5 DEW","Species",3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000243
"PergalumnaSp1DEW",NA,"Pergalumna sp. 1 DEW","Species",473,342,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000045
"PhauloppiaBoletorum",NA,"Phauloppia boletorum","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,742612
"PhthiracarusBorealis",NA,"Phthiracarus borealis","Species",118,101,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000214
"PhthiracarusBoresetosus",NA,"Phthiracarus boresetosus","Species",227,164,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000216
"PhthiracarusValidus",NA,"Phthiracarus validus","Species",5,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,96660614
"PilogalumnaSp1DEW",NA,"Pilogalumna sp. 1 DEW","Species",435,310,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000002
"PilogalumnaSp2DEW",NA,"Pilogalumna sp. 2 DEW","Species",34,27,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000003
"PlatynothrusPeltifer",NA,"Platynothrus peltifer","Species",225,172,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000148
"PlatynothrusSibiricus",NA,"Platynothrus sibiricus","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000149
"PlatynothrusSp1DEW",NA,"Platynothrus sp. 1 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000097
"PlatynothrusYamasakii",NA,"Platynothrus yamasakii","Species",133,93,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,96870065
"PleodamaeusPlokosus",NA,"Pleodamaeus plokosus","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99001376
"PleodamaeusSp1DEW",NA,"Pleodamaeus sp. 1 DEW","Species",7,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000047
"PodoribatesLongipes",NA,"Podoribates longipes","Species",53,34,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,742416
"PropelopsAlaskensis",NA,"Propelops alaskensis","Species",744,414,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000175
"PropelopsCanadensis",NA,"Propelops canadensis","Species",217,135,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,741504
"PropelopsSp3DEW",NA,"Propelops sp. 3 DEW","Species",14,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99001374
"ProtoribatesHaughlandae",NA,"Protoribates haughlandae","Species",68,55,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000049
"ProtoribatesRobustior",NA,"Protoribates robustior","Species",73,62,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000056
"ProtoribotritiaSp1DEW",NA,"Protoribotritia sp. 1 DEW","Species",26,23,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000050
"PunctoribatesPalustris",NA,"Punctoribates palustris","Species",34,27,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000192
"PyroppiaSp1DEW",NA,"Pyroppia sp. 1 DEW","Species",4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000051
"QuatrobelbaMontana",NA,"Quatrobelba montana","Species",101,79,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,95501322
"RamusellaSp2DEW",NA,"Ramusella sp. 2 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005352
"RhysotritiaArdua",NA,"Rhysotritia ardua","Species",224,161,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000061
"RhysotritiaDiaphoros",NA,"Rhysotritia diaphoros","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000234
"RoynortonellaGildersleeveae",NA,"Roynortonella gildersleeveae","Species",14,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000174
"RoynortonellaSp1DEW",NA,"Roynortonella sp. 1 DEW","Species",118,86,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000139
"ScapheremaeusPalustris",NA,"Scapheremaeus palustris","Species",3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,741223
"ScheloribatesLaevigatus",NA,"Scheloribates laevigatus","Species",12,11,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,743031
"ScheloribatesPallidulus",NA,"Scheloribates pallidulus","Species",263,206,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,743076
"ScheloribatesSp3DEW",NA,"Scheloribates sp. 3 DEW","Species",4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002086
"ScheloribatesSp4LML",NA,"Scheloribates sp. 4 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005353
"ScutozetesLanceolatus",NA,"Scutozetes lanceolatus","Species",117,80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,741719
"SphaerozetesArcticus",NA,"Sphaerozetes arcticus","Species",115,91,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,742103
"SphaerozetesSp1DEW",NA,"Sphaerozetes sp. 1 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000098
"SuctobelbellaPunctata",NA,"Suctobelbella punctata","Species",12,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000069
"SuctobelbellaSp2DEW",NA,"Suctobelbella sp. 2 DEW","Species",3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000052
"SuctobelbellaSp3DEW",NA,"Suctobelbella sp. 3 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002667
"SvalbardiaPaludicola",NA,"Svalbardia paludicola","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,742249
"TectocepheusSarekensis",NA,"Tectocepheus sarekensis","Species",267,201,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000147
"TectocepheusVelatus",NA,"Tectocepheus velatus","Species",91,62,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,741050
"TectoribatesAlcescampestris",NA,"Tectoribates alcescampestris","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002087
"TectoribatesBorealis",NA,"Tectoribates borealis","Species",8,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,99001373
"TegoribatesAmericanus",NA,"Tegoribates americanus","Species",60,47,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,741721
"TenulialaSp1DEW",NA,"Tenuliala sp. 1 DEW","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002668
"TrhypochthoniellusSetosusCanadensis",NA,"Trhypochthoniellus setosus canadensis","Species",3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99003037
"TrhypochthoniusCladonicola",NA,"Trhypochthonius cladonicola","Species",36,25,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,736692
"TrhypochthoniusNigricans",NA,"Trhypochthonius nigricans","Species",4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,736703
"TrhypochthoniusTectorum",NA,"Trhypochthonius tectorum","Species",488,337,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,736713
"TrichoribatesCopperminensis",NA,"Trichoribates copperminensis","Species",4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99001370
"TrichoribatesSp2DEW",NA,"Trichoribates sp. 2 DEW","Species",7,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000053
"TrichoribatesSp3DEW",NA,"Trichoribates sp. 3 DEW","Species",3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000237
"TrichoribatesSp5LML",NA,"Trichoribates sp. 5 LML","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005354
"TrichoribatesStriatus",NA,"Trichoribates striatus","Species",65,48,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000063
"TrimalaconothrusFoveolatus",NA,"Trimalaconothrus foveolatus","Species",5,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,736790
"TrimalaconothrusMaior",NA,"Trimalaconothrus maior","Species",52,43,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,96615654
"TrimalaconothrusSp3DEW",NA,"Trimalaconothrus sp. 3 DEW","Species",8,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000242
"TrimalaconothrusSp4DEW",NA,"Trimalaconothrus sp. 4 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99003036
"UnduloribatesDianae",NA,"Unduloribates dianae","Species",88,59,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000055
"ZetomimusFrancisi",NA,"Zetomimus francisi","Species",30,20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,742137
"ZetomimusSetosus",NA,"Zetomimus setosus","Species",5,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,742140
"ZygoribatulaBulanovae",NA,"Zygoribatula bulanovae","Species",13,13,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000059
"ZygoribatulaSp1DEW",NA,"Zygoribatula sp. 1 DEW","Species",192,108,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,99000057
"ZygoribatulaSp2DEW",NA,"Zygoribatula sp. 2 DEW","Species",146,86,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,99000058
"ZygoribatulaSp3DEW",NA,"Zygoribatula sp. 3 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002088
"ZygoribatulaSp4DEW",NA,"Zygoribatula sp. 4 DEW","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000240
