"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments"
"Calliergonella.cuspidata",NA,"Calliergonella cuspidata","Species","CalliergonellaCuspidata",99001251,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Calypogeia.integristipula",NA,"Calypogeia integristipula","Species","CalypogeiaIntegristipula",99001253,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Calypogeia.muelleriana",NA,"Calypogeia muelleriana","Species","CalypogeiaMuelleriana",99001254,26,23,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Calypogeia.neesiana",NA,"Calypogeia neesiana","Species","CalypogeiaNeesiana",99001255,35,28,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Calypogeia.sphagnicola",NA,"Calypogeia sphagnicola","Species","CalypogeiaSphagnicola",99001256,194,146,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Calypogeia.suecica",NA,"Calypogeia suecica","Species","CalypogeiaSuecica",99001257,14,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Campyliadelphus.chrysophyllus",NA,"Campyliadelphus chrysophyllus","Species","CampyliadelphusChrysophyllus",99001258,134,107,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Campylium.stellatum",NA,"Campylium stellatum","Species","CampyliumStellatum",99001144,321,216,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Campylophyllum.halleri",NA,"Campylophyllum halleri","Species","CampylophyllumHalleri",99001259,25,14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Campylophyllum.hispidulum",NA,"Campylophyllum hispidulum","Species","CampylophyllumHispidulum",99001260,769,440,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Catoscopium.nigritum",NA,"Catoscopium nigritum","Species","CatoscopiumNigritum",99001145,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Cephalozia.bicuspidata",NA,"Cephalozia bicuspidata","Species","CephaloziaBicuspidata",99001146,11,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Cephalozia.catenulata",NA,"Cephalozia catenulata","Species","CephaloziaCatenulata",99001147,9,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Cephalozia.connivens",NA,"Cephalozia connivens","Species","CephaloziaConnivens",99001148,66,44,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Cephalozia.lacinulata",NA,"Cephalozia lacinulata","Species","CephaloziaLacinulata",99001389,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Cephalozia.leucantha",NA,"Cephalozia leucantha","Species","CephaloziaLeucantha",99001346,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Cephalozia.loitlesbergeri",NA,"Cephalozia loitlesbergeri","Species","CephaloziaLoitlesbergeri",99001149,13,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Cephalozia.lunulifolia",NA,"Cephalozia lunulifolia","Species","CephaloziaLunulifolia",99001150,259,174,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Cephalozia.macounii",NA,"Cephalozia macounii","Species","CephaloziaMacounii",99001151,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
