"sppid","species","scinam","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest"
"GrayJay","Gray Jay","Perisoreus canadensis",6933,TRUE,TRUE,5833,129,5833,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"GrayPartridge","Gray Partridge","Perdix perdix",514,TRUE,TRUE,60,510,510,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"GrayCatbird","Gray Catbird","Dumetella carolinensis",543,TRUE,TRUE,401,447,447,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"GreaterScaup","Greater Scaup","Aythya marila",3,FALSE,FALSE,3,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"GrasshopperSparrow","Grasshopper Sparrow","Ammodramus savannarum",564,FALSE,TRUE,7,526,526,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0
"GreaterYellowlegs","Greater Yellowlegs","Tringa melanoleuca",1100,TRUE,TRUE,797,26,797,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"GreenwingedTeal","Green-winged Teal","Anas crecca",708,TRUE,TRUE,450,597,597,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"HammondsFlycatcher","Hammond's Flycatcher","Empidonax hammondii",102,TRUE,FALSE,101,1,101,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
"HairyWoodpecker","Hairy Woodpecker","Picoides villosus",1009,TRUE,TRUE,827,283,827,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"HerringGull","Herring Gull","Larus argentatus",51,TRUE,TRUE,25,33,33,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"HermitThrush","Hermit Thrush","Catharus guttatus",8664,TRUE,TRUE,7535,761,7535,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"HouseFinch","House Finch","Carpodacus mexicanus",30,FALSE,TRUE,22,29,29,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"HornedGrebe","Horned Grebe","Podiceps auritus",175,TRUE,TRUE,117,144,144,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"HornedLark","Horned Lark","Eremophila alpestris",11812,TRUE,TRUE,496,11350,11350,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"HoodedMerganser","Hooded Merganser","Lophodytes cucullatus",9,FALSE,FALSE,8,5,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"HouseSparrow","House Sparrow","Passer domesticus",4766,TRUE,TRUE,1859,4628,4628,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"HouseWren","House Wren","Troglodytes aedon",12424,TRUE,TRUE,10380,10912,10912,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"Killdeer","Killdeer","Charadrius vociferus",4131,TRUE,TRUE,1595,3671,3671,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"LarkBunting","Lark Bunting","Calamospiza melanocorys",448,FALSE,TRUE,3,441,441,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0
