"sppid","species","scinam","ndet","modelN","modelS","ndet_n","ndet_s","ndet_ns","map.det","veghf.north","soilhf.south","map.pred","useavail.north","useavail.south","oldforest"
"WilsonsSnipe","Wilson's Snipe","Gallinago delicata",12172,TRUE,TRUE,8842,6511,8842,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WilsonsWarbler","Wilson's Warbler","Cardellina pusilla",1142,TRUE,FALSE,1090,24,1090,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"WinterWren","Winter Wren","Troglodytes hiemalis",3585,TRUE,FALSE,2265,6,2265,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
"WoodDuck","Wood Duck","Aix sponsa",4,FALSE,FALSE,0,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
"WhitethroatedSparrow","White-throated Sparrow","Zonotrichia albicollis",23366,TRUE,TRUE,18611,3725,18611,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"WhitewingedCrossbill","White-winged Crossbill","Loxia leucoptera",1426,TRUE,TRUE,1257,30,1257,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
"YellowbelliedFlycatcher","Yellow-bellied Flycatcher","Empidonax flaviventris",749,TRUE,FALSE,719,18,719,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0
"YellowbelliedSapsucker","Yellow-bellied Sapsucker","Sphyrapicus varius",4280,TRUE,TRUE,3216,591,3216,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
"YellowRail","Yellow Rail","Coturnicops noveboracensis",241,TRUE,TRUE,59,25,59,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
"YellowWarbler","Yellow Warbler","Setophaga petechia",3357,TRUE,TRUE,2142,846,2142,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"YellowheadedBlackbird","Yellow-headed Blackbird","Xanthocephalus xanthocephalus",1992,TRUE,TRUE,680,1800,1800,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0
"YellowrumpedWarbler","Yellow-rumped Warbler","Setophaga coronata",14559,TRUE,TRUE,10109,184,10109,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1
